# Character seed list for Character Mode.
# Format: display name | bulbapedia page title | category
# Categories: protagonist, champion, elite4, gymleader, rival, villain, anime
# Lines starting with # are ignored. Display names must fit menu width (<=14 chars).

# --- Game protagonists ---
Red | Red (game) | protagonist
Hapu | Hapu (game) | gymleader

# --- Gym Leaders: Galar ---
Milo | Milo (game) | gymleader
Nessa | Nessa (game) | gymleader
Kabu | Kabu (game) | gymleader
Bea | Bea (game) | gymleader
Allister | Allister (game) | gymleader
Opal | Opal (game) | gymleader
Gordie | Gordie (game) | gymleader
Melony | Melony (game) | gymleader
Piers | Piers (game) | gymleader
Raihan | Raihan (game) | gymleader

# --- Gym Leaders: Paldea ---
Katy | Katy (game) | gymleader
Brassius | Brassius (game) | gymleader
Iono | Iono (game) | gymleader
Kofu | Kofu (game) | gymleader
Larry | Larry (game) | gymleader
Ryme | Ryme (game) | gymleader
Tulip | Tulip (game) | gymleader
Grusha | Grusha (game) | gymleader

# --- Rivals ---
Silver | Silver (game) | rival
Wally | Wally (game) | rival
Barry | Barry (game) | rival
Bianca | Bianca (game) | rival
Hugh | Hugh (game) | rival
Shauna | Shauna (game) | rival
Gladion | Gladion (game) | rival
Hop | Hop (game) | rival
Bede | Bede (game) | rival
Marnie | Marnie (game) | rival
Arven | Arven (game) | rival
Penny | Penny (game) | rival
N | N (game) | rival

# --- Villains ---
Giovanni | Giovanni (game) | villain
Archer | Archer (game) | villain
Ariana | Ariana (game) | villain
Maxie | Maxie (game) | villain
Archie | Archie (game) | villain
Cyrus | Cyrus (game) | villain
Mars | Mars (game) | villain
Jupiter | Jupiter (game) | villain
Saturn | Saturn (game) | villain
Ghetsis | Ghetsis (game) | villain
Colress | Colress (game) | villain
Lysandre | Lysandre (game) | villain
Guzma | Guzma (game) | villain
Plumeria | Plumeria (game) | villain
Lusamine | Lusamine (game) | villain
Rose | Rose (game) | villain

# --- Anime ---
Ash | Ash Ketchum | anime
Misty (anime) | Misty (anime) | anime
Brock (anime) | Brock (anime) | anime
May (anime) | May (anime) | anime
Dawn (anime) | Dawn (anime) | anime
Serena (anime) | Serena (anime) | anime
Iris (anime) | Iris (anime) | anime
Cilan (anime) | Cilan (anime) | anime
Clemont (anime) | Clemont (anime) | anime
Lillie (anime) | Lillie (anime) | anime
Kiawe (anime) | Kiawe (anime) | anime
Lana (anime) | Lana (anime) | anime
Mallow (anime) | Mallow (anime) | anime
Sophocles | Sophocles (anime) | anime
Goh | Goh | anime
Chloe | Chloe (Journeys) | anime
Gary | Gary Oak | anime
Ritchie | Ritchie | anime
Tracey | Tracey Sketchit | anime
Paul | Paul (anime) | anime
Trip | Trip | anime
Zoey | Zoey | anime
Drew | Drew | anime
Jessie | Jessie | anime
James | James | anime
Alain | Alain | anime
Nando | Nando | anime
Sawyer | Sawyer | anime
