character,category,base_species,keep(Y/n)
Brendan,protagonist,SPECIES_NUMEL,Y
Brendan,protagonist,SPECIES_PICHU,Y
Brendan,protagonist,SPECIES_RHYHORN,Y
Brendan,protagonist,SPECIES_SEEDOT,Y
Brendan,protagonist,SPECIES_SHROOMISH,Y
Brendan,protagonist,SPECIES_SLUGMA,Y
Brendan,protagonist,SPECIES_SOLROCK,Y
Brendan,protagonist,SPECIES_TAILLOW,Y
Brendan,protagonist,SPECIES_TORCHIC,Y
Brendan,protagonist,SPECIES_TREECKO,Y
Brendan,protagonist,SPECIES_TROPIUS,Y
Brendan,protagonist,SPECIES_WAILMER,Y
Brendan,protagonist,SPECIES_WHISMUR,Y
Brendan,protagonist,SPECIES_WINGULL,Y
Brendan,protagonist,SPECIES_ZIGZAGOON,Y
Brock,gymleader,SPECIES_AERODACTYL,Y
Brock,gymleader,SPECIES_BONSLY,Y
Brock,gymleader,SPECIES_CATERPIE,Y
Brock,gymleader,SPECIES_CHARMANDER,Y
Brock,gymleader,SPECIES_CLEFFA,Y
Brock,gymleader,SPECIES_CRANIDOS,Y
Brock,gymleader,SPECIES_CROAGUNK,Y
Brock,gymleader,SPECIES_CUBONE,Y
Brock,gymleader,SPECIES_DIGLETT,Y
Brock,gymleader,SPECIES_GASTLY,Y
Brock,gymleader,SPECIES_GEODUDE,Y
Brock,gymleader,SPECIES_HERACROSS,Y
Brock,gymleader,SPECIES_KABUTO,Y
Brock,gymleader,SPECIES_LARVITAR,Y
Brock,gymleader,SPECIES_MACHOP,Y
Brock,gymleader,SPECIES_MAREEP,Y
Brock,gymleader,SPECIES_MUNCHLAX,Y
Brock,gymleader,SPECIES_NIDORAN_M,Y
Brock,gymleader,SPECIES_OMANYTE,Y
Brock,gymleader,SPECIES_ONIX,Y
Brock,gymleader,SPECIES_PICHU,Y
Brock,gymleader,SPECIES_PINECO,Y
Brock,gymleader,SPECIES_PINSIR,Y
Brock,gymleader,SPECIES_RATTATA,Y
Brock,gymleader,SPECIES_RELICANTH,Y
Brock,gymleader,SPECIES_RHYHORN,Y
Brock,gymleader,SPECIES_SHUCKLE,Y
Brock,gymleader,SPECIES_SLOWPOKE,Y
Brock,gymleader,SPECIES_SPEAROW,Y
Brock,gymleader,SPECIES_SUICUNE,Y
Brock,gymleader,SPECIES_TEDDIURSA,Y
Brock,gymleader,SPECIES_VULPIX,Y
Brock,gymleader,SPECIES_ZUBAT,Y
Brock (anime),anime,SPECIES_AIPOM,Y
Brock (anime),anime,SPECIES_CHARMANDER,Y
Brock (anime),anime,SPECIES_COMFEY,Y
Brock (anime),anime,SPECIES_CROAGUNK,Y
Brock (anime),anime,SPECIES_GEODUDE,Y
Brock (anime),anime,SPECIES_HAPPINY,Y
Brock (anime),anime,SPECIES_HATENNA,Y
Brock (anime),anime,SPECIES_HOOTHOOT,Y
Brock (anime),anime,SPECIES_KANGASKHAN,Y
Brock (anime),anime,SPECIES_LOTAD,Y
Brock (anime),anime,SPECIES_MAGIKARP,Y
Brock (anime),anime,SPECIES_MAGNEMITE,Y
Brock (anime),anime,SPECIES_MIMEJR,Y
Brock (anime),anime,SPECIES_ODDISH,Y
Brock (anime),anime,SPECIES_ONIX,Y
Brock (anime),anime,SPECIES_PANSAGE,Y
Brock (anime),anime,SPECIES_PICHU,Y
Brock (anime),anime,SPECIES_ROCKRUFF,Y
Brock (anime),anime,SPECIES_SEEDOT,Y
Brock (anime),anime,SPECIES_STARLY,Y
Brock (anime),anime,SPECIES_TAILLOW,Y
Brock (anime),anime,SPECIES_TAUROS,Y
Brock (anime),anime,SPECIES_TOTODILE,Y
Brock (anime),anime,SPECIES_TURTONATOR,Y
Brock (anime),anime,SPECIES_TURTWIG,Y
Brock (anime),anime,SPECIES_VULPIX,Y
Brock (anime),anime,SPECIES_WAILMER,Y
Brock (anime),anime,SPECIES_YUNGOOS,Y
Bruno,elite4,SPECIES_CLEFFA,Y
Bruno,elite4,SPECIES_DIGLETT,Y
Bruno,elite4,SPECIES_DRATINI,Y
Bruno,elite4,SPECIES_EXEGGCUTE,Y
Bruno,elite4,SPECIES_GASTLY,Y
Bruno,elite4,SPECIES_GEODUDE,Y
Bruno,elite4,SPECIES_GRIMER,Y
Bruno,elite4,SPECIES_HERACROSS,Y
Bruno,elite4,SPECIES_KANGASKHAN,Y
Bruno,elite4,SPECIES_LAPRAS,Y
Bruno,elite4,SPECIES_MACHOP,Y
Bruno,elite4,SPECIES_MAGIKARP,Y
Bruno,elite4,SPECIES_MAGNEMITE,Y
Bruno,elite4,SPECIES_MAKUHITA,Y
Bruno,elite4,SPECIES_MANKEY,Y
Bruno,elite4,SPECIES_ONIX,Y
Bruno,elite4,SPECIES_PICHU,Y
Bruno,elite4,SPECIES_PIDGEY,Y
Bruno,elite4,SPECIES_POLIWAG,Y
Bruno,elite4,SPECIES_RHYHORN,Y
Bruno,elite4,SPECIES_RIOLU,Y
Bruno,elite4,SPECIES_SANDSHREW,Y
Bruno,elite4,SPECIES_SCYTHER,Y
Bruno,elite4,SPECIES_SHELLDER,Y
Bruno,elite4,SPECIES_SLOWPOKE,Y
Bruno,elite4,SPECIES_SMOOCHUM,Y
Bruno,elite4,SPECIES_SNUBBULL,Y
Bruno,elite4,SPECIES_SQUIRTLE,Y
Bruno,elite4,SPECIES_TEDDIURSA,Y
Bruno,elite4,SPECIES_TYROGUE,Y
Bruno,elite4,SPECIES_VOLTORB,Y
Brycen,gymleader,SPECIES_CARVANHA,Y
Brycen,gymleader,SPECIES_CRYOGONAL,Y
Brycen,gymleader,SPECIES_CUBCHOO,Y
Brycen,gymleader,SPECIES_DEINO,Y
Brycen,gymleader,SPECIES_ELGYEM,Y
Brycen,gymleader,SPECIES_FOONGUS,Y
Brycen,gymleader,SPECIES_FRILLISH,Y
Brycen,gymleader,SPECIES_HERACROSS,Y
Brycen,gymleader,SPECIES_HOUNDOUR,Y
Brycen,gymleader,SPECIES_KARRABLAST,Y
Brycen,gymleader,SPECIES_LARVESTA,Y
Brycen,gymleader,SPECIES_MURKROW,Y
Brycen,gymleader,SPECIES_OSHAWOTT,Y
Brycen,gymleader,SPECIES_PATRAT,Y
Brycen,gymleader,SPECIES_PAWNIARD,Y
Brycen,gymleader,SPECIES_SAWK,Y
Brycen,gymleader,SPECIES_SCRAGGY,Y
Brycen,gymleader,SPECIES_SEEL,Y
Brycen,gymleader,SPECIES_SNEASEL,Y
Brycen,gymleader,SPECIES_SNIVY,Y
Brycen,gymleader,SPECIES_SPHEAL,Y
Brycen,gymleader,SPECIES_TEPIG,Y
Brycen,gymleader,SPECIES_TIRTOUGA,Y
Brycen,gymleader,SPECIES_VANILLITE,Y
Brycen,gymleader,SPECIES_VULLABY,Y
Brycen,gymleader,SPECIES_ZORUA,Y
Bugsy,gymleader,SPECIES_ANORITH,Y
Bugsy,gymleader,SPECIES_BELLSPROUT,Y
Bugsy,gymleader,SPECIES_BONSLY,Y
Bugsy,gymleader,SPECIES_CATERPIE,Y
Bugsy,gymleader,SPECIES_CHIKORITA,Y
Bugsy,gymleader,SPECIES_CLEFFA,Y
Bugsy,gymleader,SPECIES_COMBEE,Y
Bugsy,gymleader,SPECIES_CYNDAQUIL,Y
Bugsy,gymleader,SPECIES_HERACROSS,Y
Bugsy,gymleader,SPECIES_HO_OH,Y
Bugsy,gymleader,SPECIES_KRICKETOT,Y
Bugsy,gymleader,SPECIES_LAPRAS,Y
Bugsy,gymleader,SPECIES_LARVITAR,Y
Bugsy,gymleader,SPECIES_MIMEJR,Y
Bugsy,gymleader,SPECIES_NINCADA,Y
Bugsy,gymleader,SPECIES_PICHU,Y
Bugsy,gymleader,SPECIES_PINECO,Y
Bugsy,gymleader,SPECIES_PINSIR,Y
Bugsy,gymleader,SPECIES_RATTATA,Y
Bugsy,gymleader,SPECIES_SCYTHER,Y
Bugsy,gymleader,SPECIES_SHUCKLE,Y
Bugsy,gymleader,SPECIES_SLOWPOKE,Y
Bugsy,gymleader,SPECIES_SNEASEL,Y
Bugsy,gymleader,SPECIES_SPINARAK,Y
